,name,personality_type,I,N,T,P,F,J,S,E
143,Rose Gold,ENFJ,-1,90,-1,-1,71,88,-1,90
144,Autumn Palette,ISFP,97,-1,-1,83,83,-1,81,-1
145,Cinnamon,ISFP,61,-1,-1,61,83,-1,56,-1
146,Dark gunmetal,INTP,88,88,92,84,-1,-1,-1,-1
147,Caramel,ISFP,64,-1,-1,80,94,-1,88,-1
148,Transparent,INFP,90,95,-1,75,85,-1,-1,-1
149,Eggshell,ISTJ,94,-1,81,-1,-1,97,89,-1
150,Jade,ENFJ,-1,85,-1,-1,59,94,-1,91
151,Early Morning Pallete,ENFP,-1,90,-1,72,99,-1,-1,85
152,Salmon,ESFJ,-1,-1,-1,-1,98,78,80,75
153,Peach,ISFJ,87,-1,-1,-1,97,84,84,-1
154,Black Russian,INTP,93,100,90,67,-1,-1,-1,-1
155,Eggplant,ISFP,85,-1,-1,69,74,-1,67,-1
156,Beige,ISFJ,96,-1,-1,-1,76,93,88,-1
157,Lemon Yellow,ESFP,-1,-1,-1,92,98,-1,58,94
158,Khaki,ISTP,98,-1,92,92,-1,-1,90,-1
159,Amethyst,INFJ,94,94,-1,-1,93,88,-1,-1
160,Magenta / Fuchsia,ESFP,-1,-1,-1,74,94,-1,83,92
161,Ultramarine,INTP,70,85,73,65,-1,-1,-1,-1
162,Bottle Green,INTP,92,85,86,84,-1,-1,-1,-1
163,Hot Pink,ESFP,-1,-1,-1,85,100,-1,66,97
164,Maroon,ENTJ,-1,87,93,-1,-1,82,-1,80
165,Mulberry,ENFJ,-1,75,-1,-1,97,85,-1,93
166,Vermillion,ENTP,-1,81,91,90,-1,-1,-1,96
167,Crimson,ENTJ,-1,87,93,-1,-1,87,-1,91
168,Cattleya,ESFP,-1,-1,-1,100,100,-1,100,100
169,Bisque,INFJ,100,100,-1,-1,100,100,-1,-1
170,Clementine,ESFP,-1,-1,-1,100,100,-1,100,100
171,Musou black,INTP,100,100,100,100,-1,-1,-1,-1
172,Kitchen Blue,ISFJ,100,-1,-1,-1,67,67,100,-1
173,Paris Romance,INFJ,100,80,-1,-1,100,80,-1,-1
174,Yellow Chartreuse,ENFP,-1,100,-1,100,100,-1,-1,67
175,Phlox,ENTP,-1,83,67,83,-1,-1,-1,83
176,Smalt,ISTJ,100,-1,100,-1,-1,100,100,-1
177,Boysenberry,INTJ,86,100,100,-1,-1,86,-1,-1
178,Arctic lime,ESFP,-1,-1,-1,60,100,-1,100,100
179,African violet,INFP,100,89,-1,89,100,-1,-1,-1
180,Onyx,INTJ,100,92,92,-1,-1,62,-1,-1
181,Helio,INFP,75,88,-1,88,88,-1,-1,-1
182,Carnelian,ESFP,-1,-1,-1,83,83,-1,67,100
183,Cornflower Blue,INFP,94,65,-1,53,100,-1,-1,-1
184,Graphite,ISTJ,92,-1,92,-1,-1,68,79,-1
185,YInTiCo Red,ENTJ,-1,100,100,-1,-1,100,-1,100
186,Capri,ENFJ,-1,75,-1,-1,100,75,-1,100
187,Ultram Blue Dark,INTP,100,90,90,100,-1,-1,-1,-1
188,Brunswick Green,ENFP,-1,83,-1,100,100,-1,-1,83
189,Shadow Blue,INFJ,92,92,-1,-1,77,85,-1,-1
190,Mustard Yellow,ENTP,-1,89,78,94,-1,-1,-1,89
191,Pevim,INTJ,100,100,100,-1,-1,100,-1,-1
192,Serulian,INTP,90,90,100,100,-1,-1,-1,-1
193,Persian Indigo,ENTP,-1,86,100,71,-1,-1,-1,86
194,rich black,INTJ,80,100,93,-1,-1,87,-1,-1
195,Royal Blue,ENTP,-1,92,100,83,-1,-1,-1,92
196,Amazon,INTJ,100,100,75,-1,-1,100,-1,-1
197,Café noir,INFJ,96,80,-1,-1,52,72,-1,-1
198,Japanese Violet/Sumire,ENTJ,-1,100,85,-1,-1,73,-1,73
199,Mahogany,ENTJ,-1,97,100,-1,-1,91,-1,66
200,Acid Green,ESTP,-1,-1,52,57,-1,-1,48,57
201,Wisteria,INFJ,86,100,-1,-1,95,62,-1,-1
202,Alice Blue,ISFJ,100,-1,-1,-1,92,92,50,-1
203,Baby Blue,ISFJ,100,-1,-1,-1,91,72,59,-1
204,Dark Gray,INTP,97,89,96,87,-1,-1,-1,-1
205,Chartreuse,ENFP,-1,87,-1,93,73,-1,-1,73
206,Emerald,ENTJ,-1,96,71,-1,-1,91,-1,72
207,Charcoal,INTP,99,73,96,89,-1,-1,-1,-1
208,Coral,ESFJ,-1,-1,-1,-1,94,72,56,91
209,Mauve,INFP,84,83,-1,79,100,-1,-1,-1
210,Lime,ENFP,-1,84,-1,97,79,-1,-1,87
211,Amber,ENFP,-1,76,-1,72,95,-1,-1,89
212,Army Green,ISTP,94,-1,97,84,-1,-1,90,-1
213,Infrared,ENTP,-1,88,83,93,-1,-1,-1,87
214,Gray,ISTJ,98,-1,94,-1,-1,78,76,-1
215,Orange,ESFP,-1,-1,-1,91,84,-1,70,92
216,Opera Pink,ENFP,-1,100,-1,100,100,-1,-1,100
217,Sea Green,INTP,100,67,100,67,-1,-1,-1,-1
218,Winter Sky,ESFJ,-1,-1,-1,-1,89,100,56,56
219,Sunstruck,INFJ,72,72,-1,-1,89,67,-1,-1
220,Periwinkle Blue,ISFJ,100,-1,-1,-1,100,92,50,-1
221,Cerulean,INTP,62,100,92,62,-1,-1,-1,-1
222,Cobalt,INFJ,92,92,-1,-1,64,84,-1,-1
223,Viridian,INTP,93,86,81,58,-1,-1,-1,-1
224,Razzmatazz,ENFP,-1,88,-1,96,62,-1,-1,67
225,Violet,INFJ,91,96,-1,-1,86,86,-1,-1
226,Baker-Miller Pink,INFP,66,77,-1,64,96,-1,-1,-1
227,Electric Violet,ENTP,-1,95,84,89,-1,-1,-1,84
228,Holographic White,ENFP,-1,86,-1,86,94,-1,-1,75
229,Mint,ISFP,95,-1,-1,88,88,-1,58,-1
230,Rose,ENTP,-1,74,43,77,-1,-1,-1,94
231,Vodka,ISTP,91,-1,64,82,-1,-1,64,-1
232,Aquamarine,INFP,71,89,-1,87,94,-1,-1,-1
233,Periwinkle,INFP,95,79,-1,69,95,-1,-1,-1
234,Blonde,ESFJ,-1,-1,-1,-1,95,68,86,79
235,Navy Blue,INTP,92,83,97,62,-1,-1,-1,-1
236,Deep Purple,INTJ,92,97,80,-1,-1,86,-1,-1
237,Brown,ESTJ,-1,-1,84,-1,-1,77,85,47
238,Ultramarine Blue,ENTJ,-1,90,83,-1,-1,69,-1,83
239,Sage Green,INFJ,97,76,-1,-1,95,91,-1,-1
240,Vantablack,INTJ,83,98,93,-1,-1,78,-1,-1
241,Celadon,INFJ,93,80,-1,-1,95,66,-1,-1
242,Burgundy,INTJ,58,85,87,-1,-1,87,-1,-1
243,Teal,ISFP,89,-1,-1,79,65,-1,53,-1
244,Neons,ESFP,-1,-1,-1,97,91,-1,65,97
245,Rainbow,ENFP,-1,95,-1,94,95,-1,-1,91
246,Earth Tones,ISTP,94,-1,80,74,-1,-1,86,-1
247,Davy's gray,ISTJ,100,-1,57,-1,-1,100,57,-1
248,Forest Green,ISTJ,100,-1,50,-1,-1,50,75,-1
249,Byzantine,ENFJ,-1,100,-1,-1,67,56,-1,56
250,Midnight Blue,INTJ,100,95,92,-1,-1,77,-1,-1
251,Deep Blue,INTJ,98,97,75,-1,-1,83,-1,-1
252,Silver,INFJ,97,89,-1,-1,78,89,-1,-1
253,Lilac,INFP,94,90,-1,80,96,-1,-1,-1
254,Bordeaux,INTJ,59,92,92,-1,-1,90,-1,-1
255,Cyan / Aqua,INTP,77,87,47,86,-1,-1,-1,-1
256,Sky Blue,ISTJ,100,-1,50,-1,-1,88,88,-1
257,Lavender,INFP,97,89,-1,69,96,-1,-1,-1
258,Indigo,INTP,95,96,60,53,-1,-1,-1,-1
259,Gold,ENTJ,-1,87,66,-1,-1,91,-1,97
260,Firebrick,ENTJ,-1,64,91,-1,-1,55,-1,73
261,Ultraviolet,ENTP,-1,96,80,87,-1,-1,-1,84
262,Red,ESTP,-1,-1,79,75,-1,-1,73,95
263,Galaxy Palette,INTP,94,99,69,76,-1,-1,-1,-1
264,Blood Red,ENTJ,-1,89,93,-1,-1,57,-1,87
265,Green,ENFP,-1,82,-1,66,79,-1,-1,70
266,White,ISFJ,94,-1,-1,-1,86,93,64,-1
267,Purple,INFJ,81,93,-1,-1,76,78,-1,-1
268,Pastels,INFP,92,70,-1,73,99,-1,-1,-1
269,Pink,ESFJ,-1,-1,-1,-1,96,70,73,66
270,Yellow,ENFP,-1,49,-1,94,96,-1,-1,93
271,Black,INTJ,94,89,95,-1,-1,82,-1,-1
272,Blue,INFP,91,87,-1,79,52,-1,-1,-1
