,name,personality_type,I,N,T,P,F,J,S,E
180,Essayist,INTJ,57,100,57,-1,-1,57,-1,-1
181,Snake Venom Milker,ESTP,-1,-1,78,100,-1,-1,89,78
182,Network Administrator,ISTP,100,-1,100,69,-1,-1,81,-1
183,Funeral Director,INTJ,93,50,79,-1,-1,93,-1,-1
184,Non-Profit Director,INFJ,100,100,-1,-1,92,92,-1,-1
185,Missionary,ENFJ,-1,77,-1,-1,95,95,-1,86
186,Project Manager,ENTJ,-1,93,100,-1,-1,100,-1,100
187,Art Director,INFP,72,89,-1,97,94,-1,-1,-1
188,Foster Home Worker,ESFJ,-1,-1,-1,-1,88,100,75,88
189,Military Combat,ISTJ,94,-1,100,-1,-1,65,97,-1
190,Gardener,ISFJ,97,-1,-1,-1,86,90,72,-1
191,Photojournalist,ENFP,-1,83,-1,100,83,-1,-1,67
192,Anchorman,ESTJ,-1,-1,100,-1,-1,96,100,100
193,Prison Warden,ESTJ,-1,-1,100,-1,-1,100,100,92
194,Cardiologist,ISTJ,58,-1,77,-1,-1,92,73,-1
195,Bus Driver,ISTJ,84,-1,72,-1,-1,72,100,-1
196,Nutritionist / Dietitian,ISFJ,100,-1,-1,-1,91,73,73,-1
197,Sound Designer,ISFP,92,-1,-1,92,69,-1,92,-1
198,Geographer,ISTJ,100,-1,94,-1,-1,76,53,-1
199,Whistleblower,INTJ,100,100,86,-1,-1,73,-1,-1
200,Tourist Guide,ENFJ,-1,58,-1,-1,88,82,-1,88
201,Bouncer / Doorman,ISTP,46,-1,100,59,-1,-1,100,-1
202,Travel Blogger,ENFP,-1,83,-1,97,100,-1,-1,100
203,Biophysicist,INTP,100,90,100,74,-1,-1,-1,-1
204,DJ,ESFP,-1,-1,-1,95,74,-1,81,81
205,Air Traffic Controller,ISTJ,94,-1,100,-1,-1,79,97,-1
206,Parole Officer,ISTJ,86,-1,100,-1,-1,71,100,-1
207,Grey Eminence,INTJ,100,100,95,-1,-1,90,-1,-1
208,Statistician,ISTJ,100,-1,100,-1,-1,100,79,-1
209,Construction Worker,ISTP,90,-1,94,97,-1,-1,97,-1
210,Pirate,ESTP,-1,-1,91,100,-1,-1,70,93
211,King,ENTJ,-1,78,83,-1,-1,94,-1,92
212,Industrial/Organizational Psychologist,ENTJ,-1,100,76,-1,-1,100,-1,62
213,Chiropractor,ESFJ,-1,-1,-1,-1,90,80,80,80
214,Mercenary,ISTP,91,-1,100,96,-1,-1,100,-1
215,Miner,ISTP,93,-1,100,73,-1,-1,100,-1
216,Baker,ISFJ,83,-1,-1,-1,98,83,93,-1
217,Car Washer,ISTP,56,-1,88,94,-1,-1,94,-1
218,Personal Financial Advisor,ESTJ,-1,-1,96,-1,-1,96,78,96
219,Beekeeper,ISFJ,91,-1,-1,-1,70,65,78,-1
220,Human Resource Manager,ENFJ,-1,61,-1,-1,83,100,-1,92
221,Bookmaker,ENTJ,-1,85,85,-1,-1,62,-1,85
222,Mobster,ESTP,-1,-1,100,81,-1,-1,87,97
223,Bank Clerk,ISTJ,100,-1,100,-1,-1,100,100,-1
224,War Photographer,ENTP,-1,76,85,88,-1,-1,-1,79
225,Umpires and Referees,ISTJ,94,-1,100,-1,-1,94,100,-1
226,Environmental Engineer,INFP,96,83,-1,38,71,-1,-1,-1
227,Editor,INFP,100,83,-1,75,83,-1,-1,-1
228,Kidnapper,ISTP,80,-1,100,100,-1,-1,80,-1
229,Pope,ESFJ,-1,-1,-1,-1,70,100,57,87
230,Thief,ISTP,68,-1,96,82,-1,-1,71,-1
231,Sexologist,ENFJ,-1,71,-1,-1,88,67,-1,81
232,Sculptor,ISFP,86,-1,-1,95,76,-1,76,-1
233,Blacksmith,ISTP,94,-1,94,94,-1,-1,100,-1
234,Artisan,ISFP,100,-1,-1,100,80,-1,96,-1
235,Ambulance Driver,ISFJ,64,-1,-1,-1,50,61,93,-1
236,Welder,ISTP,100,-1,100,100,-1,-1,100,-1
237,Archivist,ISTJ,97,-1,100,-1,-1,100,93,-1
238,Pediatrician,ESFJ,-1,-1,-1,-1,100,92,92,77
239,Makeup Artist,ESFP,-1,-1,-1,55,93,-1,91,95
240,Maestro,INTJ,84,76,89,-1,-1,87,-1,-1
241,Groupie,ESFP,-1,-1,-1,100,100,-1,78,94
242,Political Scientist,INTJ,89,95,95,-1,-1,92,-1,-1
243,Cook,ISFJ,67,-1,-1,-1,85,79,88,-1
244,Database Architect,INTJ,100,72,96,-1,-1,80,-1,-1
245,Business Consultant,ENTJ,-1,85,92,-1,-1,100,-1,92
246,Developmental Psychologist,INFJ,75,79,-1,-1,96,100,-1,-1
247,Door-to-Door Salesman,ESTP,-1,-1,62,85,-1,-1,92,96
248,Fitness Trainer,ESTP,-1,-1,76,79,-1,-1,86,97
249,Agricultural Worker,ISTJ,95,-1,83,-1,-1,51,100,-1
250,Cashier,ISFJ,84,-1,-1,-1,84,92,96,-1
251,Beauty Blogger,ESFJ,-1,-1,-1,-1,96,67,96,94
252,Screenwriter,INFP,97,95,-1,69,58,-1,-1,-1
253,Philanthropist,ENFJ,-1,100,-1,-1,93,96,-1,89
254,Janitor,ISTJ,98,-1,75,-1,-1,80,92,-1
255,Maid / Housekeeping Cleaner,ISFJ,83,-1,-1,-1,90,100,93,-1
256,Dancer,ESFP,-1,-1,-1,89,99,-1,92,92
257,Drill Instructor,ESTJ,-1,-1,100,-1,-1,93,96,96
258,Graphic Illustrator,ISFP,96,-1,-1,96,92,-1,67,-1
259,Social Media Influencer,ESFP,-1,-1,-1,69,95,-1,93,100
260,Zoologist,ISFP,88,-1,-1,76,92,-1,61,-1
261,Bodyguard,ISTP,94,-1,96,83,-1,-1,100,-1
262,Diplomat,ENFJ,-1,95,-1,-1,71,82,-1,93
263,Exorcist,ISFJ,94,-1,-1,-1,61,83,44,-1
264,Mountain Climber,ESTP,-1,-1,89,100,-1,-1,95,53
265,Magician,ENTP,-1,91,95,98,-1,-1,-1,93
266,Life Coach,ENFJ,-1,92,-1,-1,88,92,-1,90
267,System Administrator,ISTJ,100,-1,100,-1,-1,100,67,-1
268,Flower Farmer,ISFP,95,-1,-1,74,100,-1,74,-1
269,Art Therapist,ENFP,-1,88,-1,80,93,-1,-1,66
270,Fighter Pilot,ISTP,90,-1,98,98,-1,-1,100,-1
271,Interior Designer,ISFP,82,-1,-1,70,80,-1,68,-1
272,Comic Artist,INTP,85,95,68,96,-1,-1,-1,-1
273,Coach,ESTJ,-1,-1,85,-1,-1,54,85,97
274,UX Designer,INTJ,85,73,33,-1,-1,55,-1,-1
275,History Professor,ISTJ,77,-1,90,-1,-1,54,33,-1
276,Mechanic,ISTP,97,-1,100,97,-1,-1,98,-1
277,Trash Collector,ISTP,77,-1,85,59,-1,-1,95,-1
278,Ghostwriter,INTP,100,100,65,94,-1,-1,-1,-1
279,Anthropologist,INFJ,94,91,-1,-1,74,86,-1,-1
280,Women's Rights Activist,ENFJ,-1,96,-1,-1,92,63,-1,89
281,Undercover Cop,ENTP,-1,81,100,100,-1,-1,-1,83
282,Firefighter,ESTP,-1,-1,84,88,-1,-1,91,75
283,Judge,ESTJ,-1,-1,99,-1,-1,96,89,75
284,Archaeologist,ISTJ,98,-1,89,-1,-1,58,58,-1
285,Farmer,ISTJ,94,-1,64,-1,-1,90,89,-1
286,Philosophy Professor,INFJ,85,99,-1,-1,86,88,-1,-1
287,Proctologist,ENTP,-1,62,67,79,-1,-1,-1,83
288,Songwriter,INFP,93,92,-1,92,97,-1,-1,-1
289,Animal Rights Activist,ENFP,-1,99,-1,82,97,-1,-1,59
290,Gambler,ESTP,-1,-1,97,98,-1,-1,59,93
291,Digital Strategist,ENTJ,-1,100,97,-1,-1,89,-1,54
292,Artificial Intelligence Technologist,INTP,90,96,99,65,-1,-1,-1,-1
293,Animator,INFP,89,81,-1,97,89,-1,-1,-1
294,Brickmason,ISTP,88,-1,88,100,-1,-1,100,-1
295,Airline Captain,ESTJ,-1,-1,100,-1,-1,68,86,72
