,name,personality_type,I,N,T,P,F,J,S,E
389,Bartender,ESTP,-1,-1,67,93,-1,-1,93,86
390,English/Literature Professor,ENFP,-1,79,-1,61,85,-1,-1,76
391,Aerospace Engineer,INTP,95,84,98,70,-1,-1,-1,-1
392,Economist,ENTJ,-1,91,99,-1,-1,68,-1,64
393,Nurse,ISFJ,88,-1,-1,-1,94,97,96,-1
394,Assassin,ISTP,92,-1,97,87,-1,-1,90,-1
395,Composer,INFP,96,71,-1,80,75,-1,-1,-1
396,Warehouse Operative/Worker,ISTP,100,-1,89,67,-1,-1,89,-1
397,Comedian,ENTP,-1,95,81,98,-1,-1,-1,98
398,Special forces,ISTJ,91,-1,99,-1,-1,55,96,-1
399,Youtuber,ENFP,-1,74,-1,97,86,-1,-1,95
400,Body Piercer,ESFP,-1,-1,-1,100,75,-1,100,50
401,Cinematographer,ISFJ,100,-1,-1,-1,80,80,100,-1
402,Software Developer,INTP,100,100,100,100,-1,-1,-1,-1
403,Marketing Manager,ENTJ,-1,100,100,-1,-1,80,-1,100
404,Day Trader,INTJ,62,62,100,-1,-1,62,-1,-1
405,Social Worker,ESFJ,-1,-1,-1,-1,100,90,73,67
406,The Boss,ENTJ,-1,100,100,-1,-1,100,-1,100
407,Mechatronic engineer,ISTP,83,-1,94,78,-1,-1,61,-1
408,Bureaucrat,ISTJ,92,-1,100,-1,-1,100,100,-1
409,Realtor,ENTJ,-1,52,92,-1,-1,68,-1,96
410,Prosecutor,ENTJ,-1,84,97,-1,-1,78,-1,92
411,Chemist,INTP,97,98,98,68,-1,-1,-1,-1
412,Uber Driver,ESTP,-1,-1,79,79,-1,-1,95,47
413,Geneticist,INTJ,96,92,94,-1,-1,78,-1,-1
414,Bounty Hunter,ISTP,95,-1,98,95,-1,-1,97,-1
415,Biochemist,INTP,98,94,100,81,-1,-1,-1,-1
416,Ecologist,INFJ,100,97,-1,-1,71,86,-1,-1
417,Environmental Scientist,INFJ,95,91,-1,-1,77,100,-1,-1
418,Meteorologist,INTJ,76,76,100,-1,-1,94,-1,-1
419,Sociologist,ENFJ,-1,98,-1,-1,85,88,-1,66
420,Flight Attendant,ESFJ,-1,-1,-1,-1,86,69,89,80
421,Psychonaut,INFJ,92,100,-1,-1,72,60,-1,-1
422,Taxi Driver,ISTJ,72,-1,91,-1,-1,58,100,-1
