,name,personality_type,I,N,T,P,F,J,S,E
267,Jungle Music,ENTP,-1,100,100,100,-1,-1,-1,86
268,Krautrock,INTP,90,100,100,87,-1,-1,-1,-1
269,Hard Rock,ESTP,-1,-1,87,89,-1,-1,84,73
270,Neoclassical,INTP,100,100,67,67,-1,-1,-1,-1
271,Death Industrial,INTJ,100,83,100,-1,-1,67,-1,-1
272,Emo rap,ISFP,100,-1,-1,93,89,-1,89,-1
273,Riddim,ENTP,-1,91,100,82,-1,-1,-1,82
274,Outsider,INFP,69,94,-1,100,62,-1,-1,-1
275,Stoner Rock,ISTP,100,-1,92,100,-1,-1,85,-1
276,Sludge Metal,ISTP,93,-1,100,100,-1,-1,80,-1
277,Orchestral,INTJ,94,94,88,-1,-1,97,-1,-1
278,Ska,ENFP,-1,91,-1,97,74,-1,-1,100
279,Samba,ESFP,-1,-1,-1,95,100,-1,79,95
280,Slowed + Reverb,INFP,100,94,-1,75,100,-1,-1,-1
281,EBM,INTP,84,56,100,97,-1,-1,-1,-1
282,Space rock,INTP,100,100,93,93,-1,-1,-1,-1
283,Zeuhl,ENTP,-1,100,92,85,-1,-1,-1,69
284,Folk Metal,INFJ,86,83,-1,-1,86,83,-1,-1
285,Experimental Rock,INTP,71,98,98,94,-1,-1,-1,-1
286,Djent,INTP,98,96,94,88,-1,-1,-1,-1
287,Romanticism,INFP,96,98,-1,94,92,-1,-1,-1
288,Darksynth,INTP,100,83,100,100,-1,-1,-1,-1
289,Doomerwave,INTP,100,90,95,95,-1,-1,-1,-1
290,Alternative R&B,ISFP,93,-1,-1,75,96,-1,71,-1
291,Blues,ISFP,88,-1,-1,93,92,-1,89,-1
292,Surf Rock,ESTP,-1,-1,67,100,-1,-1,52,100
293,Power Electronics,INTJ,83,100,100,-1,-1,100,-1,-1
294,Chillwave,ISFP,97,-1,-1,100,97,-1,56,-1
295,Christian Rock,ESFJ,-1,-1,-1,-1,97,87,62,56
296,Lolicore,ENFP,-1,100,-1,94,50,-1,-1,61
297,Ethereal Wave,INFJ,100,91,-1,-1,94,84,-1,-1
298,Deathcore,ISTP,89,-1,94,91,-1,-1,81,-1
299,Bossa Nova,ISFP,92,-1,-1,91,83,-1,74,-1
300,Gothic Metal,INFJ,100,96,-1,-1,87,80,-1,-1
301,European Folk and Neopagan,INTJ,94,91,73,-1,-1,76,-1,-1
302,R&B and Soul,ISFP,86,-1,-1,82,96,-1,78,-1
303,Celtic,INFJ,97,95,-1,-1,97,72,-1,-1
304,Metalcore,ISFP,93,-1,-1,96,92,-1,55,-1
305,Britpop,ENFP,-1,96,-1,98,89,-1,-1,91
306,Indie Folk,INFJ,100,96,-1,-1,94,72,-1,-1
307,Screamo,ISFP,96,-1,-1,96,92,-1,81,-1
308,Epic Orchestral,INFJ,93,99,-1,-1,81,92,-1,-1
309,Indie Rock,INFP,91,91,-1,95,87,-1,-1,-1
310,Industrial,ENTJ,-1,97,98,-1,-1,90,-1,59
311,Brazilian Funk,ESFP,-1,-1,-1,100,58,-1,100,100
312,Funk Carioca,ESFP,-1,-1,-1,100,79,-1,100,100
313,Hardbass,ISTP,79,-1,100,100,-1,-1,97,-1
314,IDM,INTP,97,99,98,96,-1,-1,-1,-1
315,Nu Metal,ISFP,79,-1,-1,94,73,-1,82,-1
316,Ambient,INFJ,99,93,-1,-1,70,90,-1,-1
317,Wonky,INTP,100,100,100,100,-1,-1,-1,-1
318,Mellow gold,ISFJ,100,-1,-1,-1,100,100,100,-1
319,Eclectic,ENFP,-1,100,-1,100,100,-1,-1,100
320,Funkot,ENFP,-1,100,-1,100,100,-1,-1,100
321,Jazz Rap,INFJ,100,100,-1,-1,100,100,-1,-1
322,F minor,INTJ,100,100,100,-1,-1,100,-1,-1
323,D minor,INTP,100,50,50,100,-1,-1,-1,-1
324,C sharp / D flat minor,INTJ,100,50,50,-1,-1,50,-1,-1
325,A sharp / B flat minor,INFJ,100,80,-1,-1,80,80,-1,-1
326,Spoken Word,INTP,100,100,100,100,-1,-1,-1,-1
327,Dreamrave,INFP,100,100,-1,100,100,-1,-1,-1
328,Maidcore,ISFJ,100,-1,-1,-1,75,75,75,-1
329,Andean Music,INFJ,100,50,-1,-1,100,50,-1,-1
330,Dementia,ESFP,-1,-1,-1,67,33,-1,33,33
331,Corporate,ISTJ,100,-1,100,-1,-1,100,100,-1
332,Cante alentejano,ISTJ,100,-1,100,-1,-1,100,100,-1
333,Barber beats,INTP,100,100,100,100,-1,-1,-1,-1
334,Electronic Melodic House,INFP,75,50,-1,75,50,-1,-1,-1
335,Novelty,ENFP,-1,100,-1,100,100,-1,-1,100
336,Dark Jazz / Noir Ambient,INTJ,100,100,78,-1,-1,100,-1,-1
337,Singer/Songwriter,ISFP,89,-1,-1,94,100,-1,61,-1
338,Rhumba,ESFP,-1,-1,-1,100,100,-1,100,100
339,Blackened Death Metal,ENTJ,-1,92,100,-1,-1,92,-1,54
340,Denpa,ENFP,-1,100,-1,100,100,-1,-1,100
341,Free Improvisation,INTP,80,80,100,100,-1,-1,-1,-1
342,Drumstep,INTP,89,56,89,100,-1,-1,-1,-1
343,Plunderphonics,ENTP,-1,100,100,100,-1,-1,-1,100
344,Experimental,ENTP,-1,100,90,70,-1,-1,-1,60
345,Choral,ESFJ,-1,-1,-1,-1,83,100,50,50
346,Cowboy (Western),ISTJ,100,-1,100,-1,-1,100,100,-1
347,Crossbreed,INFJ,100,100,-1,-1,100,100,-1,-1
348,E Major,ENFP,-1,100,-1,100,100,-1,-1,100
349,Q-pop,ESTP,-1,-1,100,100,-1,-1,100,100
350,Subnopop,ENFP,-1,100,-1,100,100,-1,-1,100
351,Rap Rock,ESTP,-1,-1,100,100,-1,-1,100,100
352,Cumbia villera,ESFP,-1,-1,-1,100,83,-1,100,100
353,Berlin School,INTJ,100,100,100,-1,-1,100,-1,-1
354,Twee Pop,ISFP,100,-1,-1,100,100,-1,80,-1
355,Dub Techno,INTJ,100,100,100,-1,-1,100,-1,-1
356,Acid Jazz,ESFP,-1,-1,-1,100,92,-1,69,69
357,Mashup,ENTP,-1,92,67,100,-1,-1,-1,92
358,Sea Shanties,ESTJ,-1,-1,83,-1,-1,83,100,67
359,Happy Hardcore,ENFP,-1,84,-1,100,95,-1,-1,100
360,Psychedelic Rock,ENFP,-1,100,-1,95,81,-1,-1,86
361,Flamenco,ESFJ,-1,-1,-1,-1,79,64,93,93
362,Mariachi,ENFJ,-1,57,-1,-1,100,64,-1,93
363,Industrial Metal,ISTP,91,-1,100,59,-1,-1,52,-1
364,Jangle Pop,INFP,80,100,-1,90,100,-1,-1,-1
365,Dancehall,ESFP,-1,-1,-1,100,100,-1,90,100
366,Opera,ENFJ,-1,89,-1,-1,89,97,-1,94
367,Drift Phonk,ESTP,-1,-1,100,96,-1,-1,91,74
368,Hookah rap (Кальянный рэп),ESFP,-1,-1,-1,100,75,-1,100,100
369,War Metal,ENTJ,-1,75,100,-1,-1,67,-1,75
370,Sertanejo Universitário,ESFJ,-1,-1,-1,-1,100,78,78,100
371,Throat Singing,ENFP,-1,54,-1,77,54,-1,-1,38
372,Breakbeat,ENTP,-1,70,100,100,-1,-1,-1,80
373,Progressive House,ISFP,70,-1,-1,80,70,-1,50,-1
374,Experimental Hip-Hop,INTP,77,100,85,100,-1,-1,-1,-1
375,Trap Metal,ISTP,86,-1,86,100,-1,-1,100,-1
376,Bedroom Pop,ISFP,67,-1,-1,95,95,-1,62,-1
377,Sovietwave,INTJ,100,93,86,-1,-1,90,-1,-1
378,Horrorcore,ESTP,-1,-1,95,95,-1,-1,76,81
