,name,personality_type,I,N,T,P,F,J,S,E
472,Dubstep,ISTP,49,-1,71,98,-1,-1,65,-1
473,Post-Rock,INTP,96,100,57,82,-1,-1,-1,-1
474,Death Metal,ISTP,53,-1,97,90,-1,-1,57,-1
475,Shoegaze (Shoegazing),INFP,100,87,-1,97,91,-1,-1,-1
476,Punk Rock,ISTP,53,-1,81,97,-1,-1,55,-1
477,Nightcore,INFP,76,55,-1,98,92,-1,-1,-1
478,Incelcore,INTP,95,75,57,85,-1,-1,-1,-1
479,Progressive Rock,INTP,95,99,91,72,-1,-1,-1,-1
480,Jazz,ENTP,-1,86,75,89,-1,-1,-1,75
481,Grunge,INFP,98,54,-1,96,65,-1,-1,-1
482,Black Metal,INTJ,96,75,90,-1,-1,65,-1,-1
483,Lo-Fi,INFP,95,64,-1,83,91,-1,-1,-1
484,Depressive Black Metal,INTP,98,98,82,62,-1,-1,-1,-1
485,J-Pop,INFP,57,85,-1,94,92,-1,-1,-1
486,Post-Punk,INTP,98,93,54,95,-1,-1,-1,-1
487,Breakcore,ENTP,-1,98,90,97,-1,-1,-1,72
488,Emo,ISFP,99,-1,-1,96,95,-1,52,-1
489,Phonk,ISTP,65,-1,97,91,-1,-1,87,-1
490,Classical,INTJ,97,55,94,-1,-1,96,-1,-1
